Product,Monthly_Expense,Purchase_Frequency,Is_Seasonal,Label
Laptop,76384,3.69,1,1
Gaming Console,60309,4.79,1,1
Luxury Watch,66294,1.46,1,1
Designer Bag,79586,2.57,1,1
Salt,548,13.8,0,0
Salt,318,17.9,1,0
Eggs,1377,12.2,0,0
Soap,887,12.5,0,0
Designer Bag,31233,3.25,1,1
Shampoo,707,24.1,0,0
Perfume,49622,2.7,1,1
Eggs,1390,19.2,1,0
Toothpaste,896,23.6,0,0
Rice,120,11.1,0,0
Air Conditioner,51954,2.7,1,1
Vegetables,1014,27.0,0,0
Laptop,32867,3.15,1,1
Soap,1935,14.1,0,0
Cooking Oil,152,15.0,0,0
Salt,1810,12.3,1,0
Toothpaste,848,28.6,0,0
Camera,58077,3.08,0,1
Rice,543,13.7,1,0
Vegetables,1261,23.5,1,0
Cooking Oil,353,25.4,0,0
Rice,1835,11.7,0,0
Air Conditioner,65798,3.0,1,1
Laptop,92004,4.71,1,1
Shampoo,417,19.3,1,0
Perfume,24259,1.6,0,1
Gaming Console,56111,0.82,1,1
Laptop,51297,3.89,0,1
Rice,1284,13.6,0,0
Eggs,1765,10.2,1,0
Laptop,34403,3.54,1,1
Soap,986,29.1,0,0
Smart TV,5802,2.57,0,1
Milk,1983,21.7,0,0
Designer Bag,84339,3.91,1,1
Rice,785,18.8,0,0
Cooking Oil,405,27.6,1,0
Designer Bag,11052,1.63,1,1
Designer Bag,11357,1.62,1,1
Eggs,1892,28.0,1,0
Milk,238,13.3,0,0
Perfume,87555,3.22,1,1
Jewelry,37818,1.82,0,1
Smartphone,93278,2.07,1,1
Bread,732,27.9,0,0
Eggs,852,29.1,0,0
Bread,403,18.7,1,0
Camera,43730,2.57,0,1
Eggs,1248,23.5,1,0
Soap,1399,22.8,0,0
Cooking Oil,1389,17.7,1,0
Luxury Watch,82050,2.07,1,1
Bread,781,10.9,1,0
Bread,1428,12.9,1,0
Designer Bag,6255,3.13,1,1
Air Conditioner,98394,1.7,1,1
Milk,394,23.5,0,0
Jewelry,81760,0.84,1,1
Smart TV,36856,0.78,0,1
Eggs,510,23.4,0,0
Jewelry,39975,1.49,1,1
Shampoo,299,22.8,1,0
Toothpaste,457,27.2,1,0
Bread,108,12.7,0,0
Gaming Console,99052,0.16,1,1
Smart TV,26243,0.56,1,1
Smart TV,75136,3.18,1,1
Salt,1069,25.7,0,0
Soap,1216,29.2,0,0
Toothpaste,1606,14.1,1,0
Bread,839,16.6,1,0
Jewelry,8442,3.74,0,1
Smartphone,11767,2.22,0,1
Bread,1263,20.6,0,0
Shampoo,1710,27.2,0,0
Luxury Watch,15001,3.58,0,1
Eggs,1064,20.1,1,0
Shampoo,648,24.0,1,0
Luxury Watch,90362,0.43,1,1
Cooking Oil,306,14.6,0,0
Laptop,95014,4.29,1,1
Shampoo,644,21.6,0,0
Laptop,27347,1.11,1,1
Bread,1684,18.5,1,0
Designer Bag,57815,1.81,1,1
Air Conditioner,15121,4.57,0,1
Smart TV,55343,3.22,0,1
Eggs,752,28.5,0,0
Vegetables,1026,21.9,0,0
Smartphone,46660,1.23,0,1
Designer Bag,31679,0.47,1,1
Gaming Console,43475,3.91,0,1
Jewelry,75293,0.44,1,1
Bread,1743,22.3,0,0
Luxury Watch,26077,2.12,1,1
Laptop,95370,3.24,0,1
Salt,961,21.9,1,0
Smartphone,32508,3.42,0,1
Eggs,665,13.8,0,0
Smart TV,70847,0.22,0,1
Perfume,76034,0.21,1,1
Camera,34828,2.76,1,1
Rice,235,10.1,0,0
Luxury Watch,41410,0.85,0,1
Cooking Oil,1814,28.7,1,0
Jewelry,43343,0.77,1,1
Salt,563,21.7,0,0
Camera,22768,3.65,0,1
Laptop,37521,4.22,1,1
Smartphone,22926,3.46,1,1
Eggs,307,14.8,0,0
Salt,122,16.1,0,0
Milk,1127,20.3,0,0
Luxury Watch,26456,0.09,1,1
Soap,1652,18.3,0,0
Milk,118,16.6,1,0
Smart TV,79570,3.58,1,1
Toothpaste,1342,18.0,0,0
Toothpaste,1200,16.1,0,0
Perfume,31307,4.95,1,1
Smartphone,30540,0.1,1,1
Shampoo,1407,20.2,1,0
Vegetables,912,27.9,0,0
Toothpaste,968,21.7,0,0
Shampoo,521,20.0,0,0
Gaming Console,76302,3.63,0,1
Rice,363,10.8,0,0
Luxury Watch,89599,0.66,1,1
Salt,641,13.4,0,0
Luxury Watch,57251,4.13,1,1
Milk,866,29.0,0,0
Vegetables,592,30.0,0,0
Jewelry,71907,0.19,1,1
Perfume,55432,1.19,1,1
Toothpaste,1502,23.2,1,0
Rice,204,26.0,0,0
Bread,615,17.9,0,0
Gaming Console,70161,4.03,0,1
Laptop,48307,2.5,0,1
Laptop,83013,0.11,1,1
Milk,969,18.5,1,0
Salt,1949,24.0,1,0
Shampoo,1096,20.7,0,0
Rice,688,18.7,0,0
Soap,1811,12.6,1,0
Gaming Console,72541,3.6,1,1
Toothpaste,536,22.4,1,0
Soap,145,27.8,0,0
Rice,1403,16.5,1,0
Perfume,28286,0.95,1,1
Soap,1464,11.3,1,0
Smart TV,69194,4.59,1,1
Camera,46148,1.88,1,1
Gaming Console,51410,2.66,0,1
Vegetables,535,28.9,1,0
Jewelry,65181,4.87,0,1
Salt,1909,25.1,0,0
Luxury Watch,86673,1.9,0,1
Shampoo,501,29.7,0,0
Shampoo,1611,12.4,1,0
Milk,249,16.0,1,0
Smart TV,9034,2.28,1,1
Toothpaste,1813,21.5,1,0
Rice,407,26.5,1,0
Designer Bag,65726,4.6,0,1
Air Conditioner,70692,0.08,1,1
Perfume,59991,2.48,1,1
Milk,173,25.7,0,0
Luxury Watch,89398,4.96,1,1
Smart TV,61806,4.31,1,1
Smartphone,89841,2.06,0,1
Cooking Oil,750,29.1,0,0
Laptop,16659,0.24,0,1
Shampoo,134,21.0,0,0
Eggs,163,26.5,0,0
Eggs,550,29.4,0,0
Rice,1047,27.6,1,0
Jewelry,81920,1.67,1,1
Camera,17066,2.26,1,1
Bread,1259,11.2,0,0
Salt,713,19.4,1,0
Luxury Watch,88112,3.52,0,1
Cooking Oil,1198,23.3,1,0
Laptop,33516,1.71,1,1
Rice,1414,22.7,1,0
Luxury Watch,22879,0.3,1,1
Luxury Watch,76942,2.39,0,1
Milk,262,11.0,0,0
Air Conditioner,81014,4.89,0,1
Toothpaste,1533,22.7,0,0
Salt,581,29.5,0,0
Air Conditioner,63381,2.68,1,1
Camera,74978,3.08,1,1
Laptop,17254,0.24,1,1
Smart TV,99216,0.23,0,1
Luxury Watch,58042,0.94,1,1
Rice,1016,22.2,1,0
Bread,1181,10.4,0,0
Perfume,42892,3.67,0,1
Salt,400,23.1,0,0
Jewelry,33712,3.92,1,1
Salt,1501,27.6,1,0
Luxury Watch,19365,2.76,0,1
Cooking Oil,1857,29.4,0,0
Eggs,1546,29.8,0,0
Air Conditioner,77294,1.22,1,1
Milk,1160,19.7,1,0
Gaming Console,28901,2.54,1,1
Camera,43494,2.78,0,1
Vegetables,1276,11.9,1,0
Vegetables,638,20.8,0,0
Jewelry,56760,4.36,1,1
Laptop,87150,4.08,1,1
Smart TV,92170,1.46,1,1
Designer Bag,83278,3.82,1,1
Luxury Watch,21180,4.19,1,1
Vegetables,1533,22.7,0,0
Smart TV,26005,1.43,0,1
Camera,25045,0.33,1,1
Milk,1735,19.6,1,0
Laptop,12082,1.8,0,1
Air Conditioner,31239,3.38,0,1
Bread,1176,15.7,0,0
Smartphone,56188,2.8,0,1
Rice,1658,17.1,1,0
Smart TV,90535,2.84,0,1
Eggs,246,20.9,0,0
Shampoo,1948,17.5,0,0
Bread,811,14.8,1,0
Camera,43239,2.69,0,1
Vegetables,1170,20.5,1,0
Luxury Watch,48634,3.2,1,1
Vegetables,1541,27.8,1,0
Cooking Oil,1467,16.4,0,0
Cooking Oil,1644,20.4,0,0
Rice,942,11.1,0,0
Soap,1339,26.1,1,0
Laptop,49615,2.71,1,1
Smart TV,33967,1.48,1,1
Cooking Oil,688,21.0,0,0
Salt,604,26.6,1,0
Gaming Console,84615,4.42,1,1
Soap,1019,18.1,0,0
Bread,808,21.0,1,0
Soap,1742,18.1,0,0
Designer Bag,9818,3.64,1,1
Smartphone,19757,2.42,1,1
Designer Bag,45357,3.39,0,1
Cooking Oil,903,13.2,0,0
Perfume,46739,4.33,1,1
Cooking Oil,336,18.4,1,0
Jewelry,58280,1.23,0,1
Gaming Console,53122,2.02,1,1
Designer Bag,6192,0.63,0,1
Milk,980,11.1,1,0
Smart TV,32517,3.46,1,1
Eggs,665,25.5,0,0
Jewelry,63289,4.63,1,1
Milk,938,16.6,0,0
Gaming Console,62855,4.7,1,1
Cooking Oil,537,15.7,0,0
Salt,1936,15.8,1,0
Salt,936,14.6,0,0
Toothpaste,1965,19.8,0,0
Laptop,29970,0.36,0,1
Salt,368,13.5,1,0
Rice,166,20.1,1,0
Gaming Console,90230,4.08,1,1
Smartphone,20986,4.43,1,1
Air Conditioner,93342,1.75,1,1
Shampoo,1314,29.3,0,0
Shampoo,1923,28.8,1,0
Air Conditioner,34463,4.45,1,1
Laptop,72823,4.02,1,1
Milk,1621,20.5,0,0
Vegetables,1524,22.5,0,0
Luxury Watch,24385,1.59,1,1
Designer Bag,59633,1.26,0,1
Milk,961,26.7,1,0
Toothpaste,1109,27.2,0,0
Shampoo,600,19.5,0,0
Rice,731,21.8,0,0
Smart TV,75158,2.64,1,1
Jewelry,83180,1.0,1,1
Smart TV,61820,1.19,1,1
Shampoo,1270,29.8,1,0
Eggs,1835,13.3,0,0
Designer Bag,50903,0.61,1,1
Bread,253,16.3,0,0
Bread,460,11.4,0,0
Vegetables,847,21.9,0,0
Vegetables,764,26.4,0,0
Camera,7222,3.93,1,1
Smart TV,11398,1.4,1,1
Jewelry,11606,2.1,0,1
Toothpaste,733,20.3,0,0
Jewelry,7645,0.41,1,1
Laptop,39475,2.22,1,1
Jewelry,72675,4.53,1,1
Luxury Watch,22862,3.02,0,1
Salt,1217,24.2,1,0
Laptop,6867,3.56,0,1
Shampoo,152,14.5,1,0
Salt,352,14.6,1,0
Cooking Oil,1856,21.8,0,0
Milk,870,20.6,1,0
Soap,1791,10.6,0,0
Bread,1133,19.7,0,0
Perfume,96905,4.14,0,1
Bread,658,28.5,1,0
Designer Bag,8549,3.75,1,1
Shampoo,1869,15.8,1,0
Rice,232,22.1,1,0
Gaming Console,96888,4.03,1,1
Milk,1090,26.2,0,0
Designer Bag,16682,4.91,1,1
Jewelry,44929,4.45,1,1
Perfume,47979,3.91,1,1
Designer Bag,81110,4.07,1,1
Soap,864,11.3,1,0
Air Conditioner,28649,2.58,1,1
Salt,1907,27.0,1,0
Designer Bag,32507,3.19,0,1
Smart TV,35963,0.14,0,1
Milk,1568,20.0,0,0
Toothpaste,815,14.6,0,0
Vegetables,1705,19.6,1,0
Shampoo,1230,14.2,0,0
Smartphone,98890,1.65,1,1
Salt,521,20.5,0,0
Jewelry,25378,0.12,1,1
Air Conditioner,62474,4.33,0,1
Soap,109,23.3,0,0
Soap,1370,21.4,1,0
Gaming Console,10443,0.17,1,1
Laptop,30072,2.52,0,1
Eggs,1339,15.7,1,0
Toothpaste,1926,15.9,0,0
Air Conditioner,16680,0.98,1,1
Laptop,68672,0.88,1,1
Gaming Console,55749,2.53,1,1
Gaming Console,36488,0.82,0,1
Milk,444,13.7,0,0
Rice,1544,11.5,0,0
Gaming Console,13503,4.85,1,1
Cooking Oil,409,19.7,0,0
Air Conditioner,7917,1.48,1,1
Shampoo,523,29.4,0,0
Salt,1915,16.1,0,0
Eggs,1276,25.8,0,0
Smartphone,68442,0.98,1,1
Rice,786,10.5,0,0
Eggs,985,13.9,0,0
Smartphone,53443,4.36,1,1
Bread,1401,25.1,0,0
Perfume,45714,4.6,1,1
Salt,1854,28.6,1,0
Cooking Oil,1281,15.5,1,0
Eggs,743,10.1,0,0
Smartphone,89782,3.99,0,1
Designer Bag,90384,2.7,0,1
Perfume,17033,0.26,0,1
Shampoo,966,16.4,1,0
Milk,682,18.8,1,0
Camera,58648,0.88,1,1
Air Conditioner,15591,1.56,1,1
Toothpaste,1263,17.0,0,0
Vegetables,1474,24.2,1,0
Bread,1526,17.5,0,0
Shampoo,1580,26.5,0,0
Perfume,8600,0.44,0,1
Toothpaste,632,23.0,0,0
Vegetables,1006,22.9,0,0
Laptop,24312,3.27,1,1
Camera,20231,4.34,1,1
Toothpaste,1356,17.8,1,0
Soap,1918,11.1,0,0
Milk,1574,17.5,0,0
Shampoo,1070,12.6,0,0
Designer Bag,65892,5.0,0,1
Salt,1411,15.7,0,0
Soap,1752,13.8,0,0
Bread,805,27.7,0,0
Gaming Console,25043,3.99,0,1
Salt,237,28.2,0,0
Milk,1132,25.6,0,0
Cooking Oil,1263,21.6,0,0
Smart TV,21004,3.57,1,1
Jewelry,25825,1.72,1,1
Jewelry,45323,2.38,1,1
Eggs,793,18.1,0,0
Smartphone,48745,2.91,1,1
Salt,585,25.9,0,0
Milk,1332,25.5,0,0
Soap,1284,23.8,1,0
Milk,1259,27.4,1,0
Luxury Watch,94214,1.27,1,1
Shampoo,1057,27.8,0,0
Soap,543,10.6,0,0
Luxury Watch,99123,1.64,1,1
Eggs,1502,25.0,1,0
Shampoo,635,21.2,1,0
Cooking Oil,1386,22.2,1,0
Rice,1074,29.7,1,0
Cooking Oil,951,25.9,0,0
Smartphone,94196,4.81,1,1
Jewelry,42856,3.86,0,1
Eggs,1306,20.6,0,0
Perfume,74377,4.83,1,1
Shampoo,1054,23.6,1,0
Smart TV,55836,0.3,1,1
Vegetables,1696,23.5,1,0
Milk,1489,16.0,0,0
Jewelry,49881,1.95,0,1
Gaming Console,55692,4.12,1,1
Camera,37324,1.0,0,1
Air Conditioner,15582,0.68,0,1
Soap,375,24.8,0,0
Smart TV,82317,2.69,1,1
Vegetables,866,13.8,0,0
Perfume,34167,0.06,0,1
Air Conditioner,87300,2.33,1,1
Jewelry,91777,3.1,0,1
Eggs,1954,21.0,1,0
Designer Bag,96224,1.6,1,1
Designer Bag,57544,2.73,0,1
Perfume,16051,4.46,0,1
Bread,1708,11.8,0,0
Gaming Console,28648,2.02,0,1
Smart TV,23340,1.85,1,1
Toothpaste,1116,12.6,0,0
Jewelry,57876,1.74,1,1
Perfume,10103,4.42,0,1
Toothpaste,533,16.0,0,0
Vegetables,1213,24.9,0,0
Perfume,11893,2.34,0,1
Gaming Console,20668,2.79,0,1
Gaming Console,79955,3.0,0,1
Designer Bag,65746,1.24,0,1
Luxury Watch,64431,4.48,0,1
Shampoo,414,15.8,0,0
Smart TV,70003,0.1,0,1
Luxury Watch,31095,0.67,1,1
Camera,12901,4.73,0,1
Salt,1152,18.1,1,0
Toothpaste,425,21.4,1,0
Soap,369,10.6,0,0
Milk,520,12.2,1,0
Designer Bag,70312,1.39,0,1
Eggs,212,26.6,1,0
Salt,1921,28.9,0,0
Gaming Console,88868,3.69,1,1
Smartphone,16931,1.14,1,1
Rice,1737,20.3,0,0
Shampoo,865,16.2,1,0
Perfume,65601,0.82,0,1
Bread,1838,28.2,0,0
Salt,1842,22.0,0,0
Salt,734,14.0,0,0
Smart TV,9136,4.85,0,1
Rice,515,27.9,0,0
Gaming Console,18149,4.68,0,1
Designer Bag,49249,3.92,1,1
Bread,1352,22.6,1,0
Rice,1352,14.7,1,0
Milk,985,16.3,0,0
Designer Bag,48631,2.54,0,1
Luxury Watch,5406,4.16,1,1
Smartphone,70493,2.34,0,1
Eggs,1228,17.6,1,0
Rice,1746,29.3,1,0
Rice,1681,23.5,0,0
Perfume,13408,3.56,0,1
Jewelry,26121,3.88,1,1
Bread,1036,19.0,0,0
Designer Bag,16893,4.57,0,1
Camera,32365,1.21,1,1
Laptop,42169,2.61,1,1
Shampoo,493,19.1,0,0
Smart TV,46502,2.75,0,1
Toothpaste,1693,27.5,0,0
Smartphone,13483,3.06,0,1
Smart TV,82746,4.93,1,1
Designer Bag,90288,2.27,1,1
Jewelry,79125,0.26,1,1
Camera,54048,2.34,1,1
Milk,1554,14.4,1,0
Camera,43557,1.55,1,1
Toothpaste,1371,19.1,1,0
Luxury Watch,91536,1.4,0,1
Laptop,49763,0.95,1,1
Bread,1387,16.5,0,0
Shampoo,767,29.5,1,0
Smartphone,36287,1.95,1,1
Camera,44415,3.2,1,1
Vegetables,1591,23.7,0,0
Perfume,70116,0.9,1,1
Camera,24126,3.68,0,1
Gaming Console,81226,2.0,1,1
Vegetables,1092,13.1,0,0
Salt,428,27.9,1,0
Rice,1871,25.0,0,0
Luxury Watch,72368,1.15,0,1
Designer Bag,15403,1.1,1,1
Designer Bag,95057,0.73,1,1
Vegetables,957,10.5,0,0
Luxury Watch,62710,1.14,1,1
Shampoo,1513,25.4,0,0
Toothpaste,832,29.3,0,0
Rice,578,28.1,0,0
Designer Bag,20416,3.55,1,1
Luxury Watch,26492,1.03,0,1
Luxury Watch,66212,2.48,1,1
Bread,510,25.5,0,0
Smartphone,90494,0.58,0,1
Luxury Watch,17963,2.17,1,1
Milk,1345,17.8,1,0
Luxury Watch,41830,4.23,1,1
Laptop,66003,4.75,0,1
Bread,1178,28.1,1,0
Smartphone,10541,4.49,1,1
Camera,16820,3.54,0,1
Jewelry,51617,4.83,1,1
Toothpaste,681,21.3,0,0
Vegetables,658,19.7,1,0
Eggs,946,25.1,0,0
Toothpaste,473,16.0,0,0
Milk,1969,29.7,0,0
Eggs,1943,29.5,1,0
Designer Bag,95164,0.62,1,1
Gaming Console,29149,1.64,0,1
Smart TV,48961,0.81,1,1
Cooking Oil,678,15.0,0,0
Luxury Watch,49767,0.74,0,1
Cooking Oil,1183,10.3,1,0
Luxury Watch,67142,0.23,0,1
Smart TV,29189,2.69,1,1
Smartphone,89259,3.49,1,1
Milk,925,14.1,0,0
Shampoo,1563,18.5,0,0
Vegetables,1755,29.2,1,0
Smart TV,49753,3.93,1,1
Jewelry,25770,4.63,0,1
Rice,1402,19.8,1,0
Vegetables,1700,17.2,0,0
Smart TV,32150,3.05,1,1
Milk,317,12.6,0,0
Camera,35566,2.8,0,1
Air Conditioner,6033,1.98,1,1
Milk,1545,11.8,1,0
Smartphone,70495,1.82,0,1
Bread,1105,17.1,0,0
Smartphone,17659,3.85,1,1
Toothpaste,296,29.6,0,0
Bread,951,19.1,0,0
Soap,952,16.8,0,0
Perfume,26426,2.74,1,1
Perfume,84410,2.29,1,1
Air Conditioner,51495,1.32,1,1
Cooking Oil,329,29.7,0,0
Shampoo,1492,10.2,0,0
Gaming Console,28845,3.8,1,1
Smartphone,80358,1.66,1,1
Rice,1743,27.4,0,0
Perfume,31368,3.38,1,1
Air Conditioner,24095,4.07,1,1
Designer Bag,15166,3.06,0,1
Smart TV,90025,4.68,0,1
Soap,274,29.6,0,0
Smart TV,59861,0.24,1,1
Laptop,84981,4.15,1,1
Bread,813,27.1,0,0
Laptop,27624,1.09,1,1
Designer Bag,43368,0.74,1,1
Air Conditioner,43723,4.52,1,1
Designer Bag,7200,4.14,1,1
Jewelry,94041,2.05,1,1
Designer Bag,11439,4.93,1,1
Laptop,15290,3.19,1,1
Rice,1065,17.0,0,0
Toothpaste,1630,28.7,0,0
Milk,1002,17.8,0,0
Smart TV,17926,3.6,1,1
Perfume,8257,3.02,0,1
Toothpaste,1375,11.0,0,0
Gaming Console,12164,4.88,0,1
Gaming Console,91374,2.97,0,1
Laptop,89584,2.42,1,1
Toothpaste,1989,22.5,1,0
Eggs,670,22.6,0,0
Salt,518,21.2,0,0
Gaming Console,8321,4.9,0,1
Bread,841,11.2,1,0
Eggs,1622,25.0,1,0
Cooking Oil,1973,14.4,0,0
Milk,686,11.5,1,0
Designer Bag,77461,2.74,1,1
Eggs,1002,27.9,1,0
Gaming Console,21674,4.42,1,1
Laptop,95186,2.22,0,1
Eggs,233,25.4,0,0
Gaming Console,75653,2.77,1,1
Eggs,1616,12.0,1,0
Smart TV,8111,0.36,1,1
Eggs,210,10.2,1,0
Smart TV,55624,0.34,0,1
Smart TV,97454,0.24,1,1
Soap,1098,13.3,0,0
Designer Bag,23005,2.44,0,1
Air Conditioner,36394,4.54,0,1
Air Conditioner,42440,2.6,1,1
Gaming Console,65232,3.22,0,1
Soap,433,26.1,1,0
Soap,676,17.6,0,0
Air Conditioner,73875,0.8,0,1
Smart TV,58074,4.47,1,1
Salt,435,23.8,0,0
Milk,128,28.9,0,0
Perfume,71224,0.84,0,1
Smartphone,6738,1.23,1,1
Designer Bag,50660,4.41,1,1
Milk,1814,15.9,0,0
Jewelry,77000,1.15,1,1
Salt,1747,25.4,1,0
Eggs,1702,17.7,0,0
Eggs,1056,29.3,0,0
Rice,1354,10.6,1,0
Smartphone,93101,1.24,0,1
Vegetables,623,12.5,0,0
Salt,1294,18.7,0,0
Eggs,1631,27.0,1,0
Gaming Console,80269,0.56,0,1
Laptop,94467,2.08,1,1
Eggs,1558,17.1,1,0
Smart TV,91069,1.92,1,1
Milk,1680,20.2,0,0
Luxury Watch,78546,0.97,1,1
Gaming Console,70300,4.18,0,1
Vegetables,1316,17.0,1,0
Cooking Oil,1695,15.6,1,0
Designer Bag,88578,3.77,1,1
Camera,64023,3.51,0,1
Salt,1984,27.9,0,0
Gaming Console,30577,4.59,0,1
Toothpaste,143,10.8,0,0
Laptop,70852,0.82,1,1
Laptop,29031,0.3,1,1
Gaming Console,68033,1.44,1,1
Air Conditioner,58558,1.75,0,1
Rice,1232,27.4,0,0
Bread,952,24.4,0,0
Perfume,90567,0.36,0,1
Air Conditioner,27485,1.22,0,1
Perfume,27901,0.25,0,1
Smartphone,17412,4.32,0,1
Jewelry,63596,1.94,1,1
Bread,920,15.5,1,0
Salt,1890,23.4,1,0
Salt,224,12.7,0,0
Perfume,70674,1.01,1,1
Eggs,1737,23.1,0,0
Camera,27760,3.06,1,1
Bread,1516,11.8,0,0
Vegetables,1744,23.2,1,0
Cooking Oil,1115,29.3,1,0
Rice,1043,14.8,0,0
Jewelry,63271,0.31,1,1
Cooking Oil,143,24.0,1,0
Bread,547,22.3,0,0
Shampoo,948,22.8,1,0
Gaming Console,67141,2.6,1,1
Air Conditioner,27346,1.31,1,1
Salt,1133,14.8,0,0
Bread,106,28.4,0,0
Milk,575,22.7,0,0
Soap,782,11.0,0,0
Eggs,1126,19.1,1,0
Cooking Oil,1654,18.1,0,0
Rice,1291,21.3,1,0
Eggs,1243,20.7,0,0
Vegetables,1497,28.7,0,0
Soap,181,20.7,1,0
Eggs,154,17.2,0,0
Toothpaste,1575,23.2,1,0
Camera,39918,0.81,1,1
Rice,1600,21.3,1,0
Smartphone,75729,4.77,1,1
Smart TV,76377,3.98,1,1
Laptop,41575,2.55,0,1
Luxury Watch,30185,1.37,1,1
Milk,694,14.7,1,0
Soap,744,28.8,1,0
Cooking Oil,1388,22.7,1,0
Cooking Oil,1061,21.4,0,0
Air Conditioner,48124,4.27,1,1
Smart TV,23786,3.23,0,1
Luxury Watch,55744,2.43,1,1
Eggs,1244,11.7,1,0
Toothpaste,1104,25.2,0,0
Air Conditioner,54173,3.21,1,1
Rice,1893,11.4,0,0
Milk,747,19.4,0,0
Bread,610,18.1,1,0
Rice,1332,10.0,1,0
Luxury Watch,63435,3.68,0,1
Salt,1974,25.4,1,0
Rice,977,11.0,0,0
Shampoo,631,18.2,1,0
Milk,1929,23.6,1,0
Smart TV,9524,4.97,0,1
Cooking Oil,1417,15.6,0,0
Designer Bag,10556,1.74,1,1
Milk,1712,28.8,1,0
Soap,1980,24.9,0,0
Smart TV,21241,0.62,1,1
Gaming Console,64320,0.81,1,1
Perfume,35848,2.37,1,1
Bread,760,17.9,1,0
Luxury Watch,7130,2.63,0,1
Designer Bag,21083,3.26,1,1
Soap,1199,24.4,0,0
Shampoo,991,25.3,0,0
Camera,95000,3.39,0,1
Jewelry,36353,3.09,0,1
Smartphone,61940,0.65,0,1
Jewelry,52878,4.51,0,1
Cooking Oil,426,11.2,1,0
Smartphone,63602,4.5,1,1
Jewelry,88216,2.05,0,1
Rice,1096,25.0,0,0
Cooking Oil,993,28.1,1,0
Laptop,6703,2.22,1,1
Eggs,771,20.3,0,0
Toothpaste,1498,17.1,0,0
Smartphone,83260,1.23,1,1
Bread,119,28.0,0,0
Milk,684,26.8,0,0
Gaming Console,98430,1.91,1,1
Smartphone,82682,4.71,1,1
Gaming Console,58763,3.76,1,1
Jewelry,97020,2.75,1,1
Vegetables,1420,10.1,1,0
Toothpaste,1994,23.7,0,0
Rice,1161,12.9,0,0
Soap,849,28.1,0,0
Perfume,53055,4.98,0,1
Shampoo,1496,22.3,1,0
Shampoo,1623,12.3,0,0
Vegetables,1132,14.3,0,0
Rice,1404,23.9,1,0
Smartphone,57007,1.29,0,1
Toothpaste,398,12.8,0,0
Perfume,26071,3.87,1,1
Eggs,441,17.6,0,0
Shampoo,332,10.2,1,0
Vegetables,1497,26.3,0,0
Laptop,52942,1.82,0,1
Camera,32729,3.99,1,1
Perfume,22954,4.24,1,1
Designer Bag,42939,4.09,0,1
Milk,565,18.6,0,0
Shampoo,1940,17.1,1,0
Smartphone,69983,3.19,1,1
Vegetables,248,18.7,1,0
Designer Bag,77657,2.91,0,1
Milk,1165,20.6,0,0
Gaming Console,56385,1.69,0,1
Jewelry,20722,0.19,1,1
Soap,1477,11.2,0,0
Shampoo,184,15.5,1,0
Smart TV,98320,1.97,1,1
Rice,105,16.4,0,0
Laptop,88931,3.98,1,1
Milk,1977,26.0,0,0
Rice,1476,19.1,0,0
Luxury Watch,77577,4.56,1,1
Cooking Oil,1225,21.8,0,0
Luxury Watch,90122,4.52,0,1
Milk,1780,26.6,0,0
Cooking Oil,350,20.6,1,0
Eggs,1316,14.2,1,0
Vegetables,334,13.3,1,0
Toothpaste,307,19.6,0,0
Milk,970,27.8,0,0
Luxury Watch,28930,0.39,0,1
Rice,145,28.8,0,0
Gaming Console,11498,3.99,1,1
Perfume,85659,0.59,1,1
Luxury Watch,46748,4.95,0,1
Air Conditioner,13999,1.07,0,1
Laptop,78580,3.13,0,1
Rice,1556,12.3,0,0
Air Conditioner,71449,2.34,1,1
Luxury Watch,84846,0.33,1,1
Salt,388,28.1,0,0
Toothpaste,1936,14.7,0,0
Eggs,1252,26.0,0,0
Laptop,27210,4.67,0,1
Smartphone,75993,1.3,0,1
Vegetables,1726,25.6,1,0
Gaming Console,6583,2.44,1,1
Smartphone,7353,0.79,1,1
Air Conditioner,64428,2.56,1,1
Smartphone,85211,2.04,1,1
Vegetables,1006,28.8,0,0
Designer Bag,36509,4.4,1,1
Salt,789,16.0,0,0
Shampoo,1231,13.6,0,0
Designer Bag,54441,3.42,1,1
Rice,1131,29.5,0,0
Designer Bag,20039,2.47,1,1
Salt,1263,17.5,0,0
Jewelry,28713,4.48,0,1
Eggs,1160,26.1,0,0
Smart TV,16822,3.76,1,1
Luxury Watch,64483,1.61,1,1
Milk,1654,10.6,1,0
Laptop,73277,2.01,1,1
Bread,1395,10.4,0,0
Jewelry,27223,3.37,0,1
Rice,1120,23.3,0,0
Milk,1455,10.2,0,0
Laptop,30180,2.58,1,1
Toothpaste,267,16.4,1,0
Camera,57044,1.04,0,1
Jewelry,96211,3.53,0,1
Gaming Console,95100,1.75,0,1
Smartphone,32767,2.19,1,1
Smartphone,56669,1.95,1,1
Eggs,1012,26.9,0,0
Shampoo,1769,10.0,0,0
Cooking Oil,608,28.3,0,0
Gaming Console,48943,3.4,0,1
Air Conditioner,81689,1.58,0,1
Gaming Console,84872,4.29,0,1
Jewelry,45669,2.79,1,1
Smartphone,95573,0.71,0,1
Milk,1344,10.2,1,0
Laptop,62130,2.23,1,1
Shampoo,739,15.8,1,0
Laptop,12209,4.44,1,1
Perfume,32241,3.97,0,1
Eggs,1927,23.3,0,0
Camera,50428,2.71,1,1
